Song	Artist	Length	Genre	BPM	Music_file	BPM_file	Music_BPM_file
Pan Comido	Audeeyah.com	161	Latin,Salsa	110	pan-comido.wav	pan-comido-beat.wav	Pan-comido-with-beat.wav
Celebrating Life	Audeeyah.com	142	Salsa	115	celebrating-life.wav	celebrating-life-beat.wav	Celebrating-life-with-beat.wav
Adios	Audeeyah.com	108	Salsa	110	adios.wav	adios-beat-2.wav	adios-with-beat-2.wav
Sunchine City	Audeeyah.com	137	Salsa	100	sunshine-city.wav	sunshine-city-beat.wav	sunshine-city-with-beat.wav
Easygoing	Audeeyah.com	127	Salsa	75	easygoing.wav	easy-going-beat.wav	easy-going-with-beat.wav
Move On	Audeeyah.com	124	Salsa	155	move-on.wav	move-on-beat.wav	move-on-with-beat.wav
Anhelo	Audeeyah.com	117	Salsa	90	anhelo.wav	anhelo-beat.wav	anhelo-with-beat.wav
Friendships	Audeeyah.com	142	Salsa	115	friendships.wav	friendships-beat.wav	friendships-with-beat.wav
Golden Thoughts	Audeeyah.com	137	Salsa	70	golden-thoughts.wav	golden-thoughts-beat.wav	golden-thoughts-with-beat.wav
Exotic Envy	Audeeyah.com	120	Salsa	160	exotic-envy.wav	exotic-envy-beat.wav	exotic-envy-with-beat.wav
Legendary Emotions	Audeeyah.com	142	Salsa	115	legendery-emotions.wav	legendery-emotions-beat.wav	legendery-emotions-with-beat.wav
Carnival	Audeeyah.com	142	Brazilian Dance,Latin Pop	135	carnival.wav	carnival-beat.wav	carnival-with-beat.wav
Club Sol	Audeeyah.com	144	Brazilian Dance,Latin Pop	120	club-sol.wav	club-sol.wav	club-sol.wav
Copa Copa	Audeeyah.com	137	Brazilian Dance,Latin Pop	115	copa-copa.wav	copa-copa-beat.wav	copa-copa-with-beat.wav
La Fiesta	Audeeyah.com	192	Brazilian Dance,Latin Pop	120	la-fiesta.wav	la-fiesta-beat.wav	la-fiesta-with-beat.wav
More Than Words Can Ever Say	Audeeyah.com	128	Latin Pop	105	more-than-words-can-ever-say.wav	more-than-even-words-can-say-beat.wav	more-than-even-words-can-say-with-beat.wav
No More Tears	Audeeyah.com	126	Latin Jazz,Latin Pop	130	no-more-tears.wav	no-more-tears-beat.wav	no-more-tears-with-beat.wav
Que Si Que No	Audeeyah.com	102	Brazilian Dance,Latin Pop	150	que-si-que-no.wav	que-si-que-no-beat.wav	que-si-que-no-with-beat.wav
Dance	Audeeyah.com	142	Brazilian Dance,Latin Pop	126	dance.wav	dance-beat.wav	dance-with-beat.wav
